config_name,row_count,controller_delay_mean_s_count,controller_delay_mean_s_mean,controller_delay_mean_s_min,controller_delay_mean_s_max,controller_packet_error_rate_mean_count,controller_packet_error_rate_mean_mean,controller_packet_error_rate_mean_min,controller_packet_error_rate_mean_max,receiver_total_packet_count_count,receiver_total_packet_count_mean,receiver_total_packet_count_min,receiver_total_packet_count_max,receiver_app0_e2e_delay_mean_s_count,receiver_app0_e2e_delay_mean_s_mean,receiver_app0_e2e_delay_mean_s_min,receiver_app0_e2e_delay_mean_s_max,receiver_app1_e2e_delay_mean_s_count,receiver_app1_e2e_delay_mean_s_mean,receiver_app1_e2e_delay_mean_s_min,receiver_app1_e2e_delay_mean_s_max
MildLinear,60,60,0.0074688002083333335,1e-07,0.015,60,0.0149375,0.0,0.03,60,4.016666666666667,0.0,5.0,50,0.0045325046,0.00018152,0.01518142,48,0.0047112472890625005,5.864e-05,0.015086220000000001
StrongLinear,60,60,0.019916716875,1e-07,0.04,60,0.03983333333333334,0.0,0.08,60,3.95,0.0,5.0,50,0.0117825046,0.00018152,0.04018142,48,0.012416241671875,5.864e-05,0.04009314
UnstableLinear,60,60,0.012414256506587501,1e-07,0.025,60,0.02482841232682416,0.0,0.05,60,3.95,0.0,5.0,50,0.0073932525469,0.00018152,0.02518142,48,0.0077487459678625,5.864e-05,0.02509314
