config_name,run_number,window_start_s,window_end_s,label,controller_delay_mean_s,controller_delay_max_s,controller_delay_last_s,controller_packet_error_rate_mean,controller_packet_error_rate_max,controller_packet_error_rate_last,receiver_app0_packet_count,receiver_app0_seq_progress,receiver_app0_last_seq,receiver_app0_e2e_delay_mean_s,receiver_app0_e2e_delay_max_s,receiver_app0_throughput_mean_bps,receiver_app0_throughput_last_bps,receiver_app1_packet_count,receiver_app1_seq_progress,receiver_app1_last_seq,receiver_app1_e2e_delay_mean_s,receiver_app1_e2e_delay_max_s,receiver_app1_throughput_mean_bps,receiver_app1_throughput_last_bps,receiver_total_packet_count
MildLinear,0,25.0,26.0,degraded,0.004031323125,0.00450007,0.00450007,0.0080625,0.009,0.009,1,1,15,0.0035564975,0.003931495,3723.6363636363635,0.0,4,4,55,0.003911294500000001,0.0041836125,3723.6363636363635,0.0,5
MildLinear,0,26.0,27.0,degraded,0.004781318125,0.005250065,0.005250065,0.0095625,0.0105,0.0105,1,1,16,0.0043064925,0.00468149,3723.6363636363635,0.0,4,4,59,0.0046612895000000005,0.0049336075,3723.6363636363635,0.0,5
MildLinear,0,27.0,28.0,degraded,0.0055313131249999994,0.00600006,0.00600006,0.0110625,0.012,0.012,1,1,17,0.0050564875,0.005431485,3723.6363636363635,0.0,4,4,63,0.0054112845,0.0056836025,3723.6363636363635,0.0,5
MildLinear,0,28.0,29.0,degraded,0.006281308124999999,0.006750055,0.006750055,0.0125625,0.0135,0.0135,1,1,18,0.0058064825,0.00618148,3723.6363636363635,0.0,4,4,67,0.0061612795,0.0064335975,3723.6363636363635,0.0,5
MildLinear,0,29.0,30.0,degraded,0.007031303125,0.00750005,0.00750005,0.0140625,0.015,0.015,1,1,19,0.0065564774999999995,0.006931475,3723.6363636363635,0.0,4,4,71,0.0069112745,0.0071835925,3723.6363636363635,0.0,5
MildLinear,0,30.0,31.0,degraded,0.007781298125,0.008250045,0.008250045,0.0155625,0.0165,0.0165,1,1,20,0.0073064725,0.00768147,3723.6363636363635,0.0,4,4,75,0.0076612695,0.0079335875,3723.6363636363635,0.0,5
MildLinear,0,31.0,32.0,degraded,0.008531293124999999,0.00900004,0.00900004,0.0170625,0.018,0.018,1,1,21,0.008056467500000001,0.008431465,3723.6363636363635,0.0,4,4,79,0.0084112645,0.0086835825,3723.6363636363635,0.0,5
MildLinear,0,32.0,33.0,degraded,0.009281288125,0.009750035,0.009750035,0.0185625,0.0195,0.0195,1,1,22,0.0088064625,0.00918146,3723.6363636363635,0.0,4,4,83,0.009161259500000001,0.0094335775,3723.6363636363635,0.0,5
MildLinear,0,33.0,34.0,degraded,0.010031283125,0.01050003,0.01050003,0.0200625,0.021,0.021,1,1,23,0.0095564575,0.009931455,3723.6363636363635,0.0,3,4,87,0.009936924375,0.0101835725,2792.7272727272725,0.0,4
MildLinear,0,34.0,35.0,degraded,0.010781278125,0.011250025,0.011250025,0.0215625,0.0225,0.0225,1,1,24,0.0103064525,0.01068145,3723.6363636363635,0.0,4,4,91,0.0106612495,0.0109335675,3723.6363636363635,0.0,5
MildLinear,0,35.0,36.0,degraded,0.011531273125,0.01200002,0.01200002,0.0230625,0.024,0.024,1,1,25,0.0110564475,0.011431445,3723.6363636363635,0.0,4,4,95,0.011411244499999999,0.0116835625,3723.6363636363635,0.0,5
MildLinear,0,36.0,37.0,degraded,0.012281268125,0.012750015,0.012750015,0.0245625,0.0255,0.0255,1,1,26,0.0118064425,0.01218144,3723.6363636363635,0.0,4,4,99,0.0121612395,0.0124335575,3723.6363636363635,0.0,5
MildLinear,0,37.0,38.0,degraded,0.013031263125,0.01350001,0.01350001,0.0260625,0.027,0.027,1,1,27,0.0125564375,0.012931435,3723.6363636363635,0.0,4,4,103,0.012911234499999999,0.0131835525,3723.6363636363635,0.0,5
MildLinear,0,38.0,39.0,degraded,0.013781258125,0.014250005,0.014250005,0.0275625,0.0285,0.0285,1,1,28,0.0133064325,0.01368143,3723.6363636363635,0.0,4,4,107,0.0136612295,0.0139335475,3723.6363636363635,0.0,5
MildLinear,0,39.0,40.0,degraded,0.014531253124999999,0.015,0.015,0.0290625,0.03,0.03,1,1,29,0.0140564275,0.014431425,3723.6363636363635,0.0,4,4,111,0.0144112245,0.0146835425,3723.6363636363635,0.0,5
MildLinear,0,40.0,41.0,pre_failure,0.015,0.015,0.015,0.03,0.03,0.03,1,1,30,0.0148064225,0.01518142,3723.6363636363635,0.0,4,4,115,0.0150112205,0.01519694,3723.6363636363635,0.0,5
MildLinear,0,41.0,42.0,pre_failure,0.015,0.015,0.015,0.03,0.03,0.03,1,1,31,0.01518142,0.01518142,3723.6363636363635,0.0,4,4,119,0.015086220000000001,0.01519694,3723.6363636363635,0.0,5
MildLinear,0,42.0,43.0,pre_failure,0.015,0.015,0.015,0.03,0.03,0.03,1,1,32,0.01518142,0.01518142,3723.6363636363635,0.0,4,4,123,0.015086220000000001,0.01519694,3723.6363636363635,0.0,5
MildLinear,0,43.0,44.0,pre_failure,0.015,0.015,0.015,0.03,0.03,0.03,1,1,33,0.01518142,0.01518142,3723.6363636363635,0.0,4,4,127,0.015086220000000001,0.01519694,3723.6363636363635,0.0,5
MildLinear,0,44.0,45.0,pre_failure,0.015,0.015,0.015,0.03,0.03,0.03,1,1,34,0.01518142,0.01518142,3723.6363636363635,0.0,4,4,131,0.015086220000000001,0.01519694,3723.6363636363635,0.0,5
